Top pages,Clicks,Impressions,CTR,Position
https://dallastowers.com/the-travis-at-katy-trail,2,28,7.14%,9.07
https://dallastowers.com/colonnade-at-turtle-creek,1,14,7.14%,13.5
https://dallastowers.com/the-terminal-at-katy-trail,1,6,16.67%,19.17
https://dallastowers.com/the-knox-residences-auberge,0,24,0%,12.33
https://dallastowers.com/bleu-ciel,0,17,0%,43.29
https://dallastowers.com/community.html,0,16,0%,51.19
https://dallastowers.com/victory-park-terrace.html,0,15,0%,36.67
https://dallastowers.com/588-lofts,0,10,0%,14
https://dallastowers.com/rosewood-residences-turtle-creek,0,9,0%,8.78
https://dallastowers.com/azure.html,0,9,0%,20.78
https://dallastowers.com/community,0,9,0%,62.89
https://dallastowers.com/the-tower-residences-ritz-carlton.html,0,9,0%,66.89
https://dallastowers.com/the-belvedere,0,8,0%,9
https://dallastowers.com/downtown-fort-worth,0,8,0%,27
https://dallastowers.com/the-tower,0,8,0%,28.62
https://dallastowers.com/the-house,0,8,0%,36.12
https://dallastowers.com/the-renaissance-on-turtle-creek,0,7,0%,33.29
https://dallastowers.com/la-tour,0,7,0%,41.14
https://dallastowers.com/park-highlander,0,6,0%,8.33
https://dallastowers.com/2011-cedar-springs-lofts,0,6,0%,9.33
https://dallastowers.com/the-vendome,0,6,0%,42
https://dallastowers.com/the-grand-at-turtle-creek,0,6,0%,45.83
https://dallastowers.com/preston-tower,0,6,0%,63
https://dallastowers.com/park-plaza,0,5,0%,6.2
https://dallastowers.com/art-house-at-so7,0,5,0%,7.4
https://dallastowers.com/one-montgomery-plaza-residences,0,5,0%,11.2
https://dallastowers.com/hall-arts-residences,0,5,0%,26.6
https://dallastowers.com/museum-tower,0,5,0%,29.6
https://dallastowers.com/mansion-residences,0,5,0%,32.8
https://dallastowers.com/turtle-creek-north,0,5,0%,37
https://dallastowers.com/one-museum-place-residences,0,5,0%,40.6
https://dallastowers.com/turtle-creek,0,5,0%,81.4
https://dallastowers.com/park-highlander.html,0,4,0%,7.5
https://dallastowers.com/mercer-square,0,4,0%,8.5
https://dallastowers.com/lone-star-tower,0,4,0%,10.75
https://dallastowers.com/beverly-on-turtle-creek,0,4,0%,14
https://dallastowers.com/neil-p-at-burnett-park,0,4,0%,19
https://dallastowers.com/metropolitan-club-at-hotel-zaza,0,4,0%,25
https://dallastowers.com/downtown-fort-worth.html,0,4,0%,38.5
https://dallastowers.com/omni-fort-worth-residences,0,4,0%,41.25
https://dallastowers.com/the-tower.html,0,4,0%,48.25
https://dallastowers.com/plaza-at-turtle-creek-i,0,4,0%,51.5
https://dallastowers.com/thirty-thirty-bryan-condos,0,3,0%,11.33
https://dallastowers.com/uptown-victory-park,0,3,0%,25.67
https://dallastowers.com/the-shelton,0,3,0%,32.67
https://dallastowers.com/soco-urban-lofts,0,3,0%,41.67
https://dallastowers.com/the-metropolitan,0,3,0%,46
https://dallastowers.com/the-renaissance-on-turtle-creek.html,0,3,0%,46
https://dallastowers.com/one-arts-plaza,0,3,0%,57
https://dallastowers.com/plaza-at-turtle-creek-ii,0,3,0%,70.33
https://dallastowers.com/market-data,0,3,0%,83
https://dallastowers.com/,0,2,0%,2.5
https://dallastowers.com/crestpark-in-highland-park,0,2,0%,3
https://dallastowers.com/the-athena,0,2,0%,4.5
https://dallastowers.com/schaumburg-lofts,0,2,0%,5
https://dallastowers.com/villa-de-leon,0,2,0%,5
https://dallastowers.com/2011-cedar-springs-lofts.html,0,2,0%,7.5
https://dallastowers.com/509-elm-place-lofts,0,2,0%,9
https://dallastowers.com/main-7,0,2,0%,9
https://dallastowers.com/westview.html,0,2,0%,9
https://dallastowers.com/the-wyndemere-at-turtle-creek.html,0,2,0%,9.5
https://dallastowers.com/forest-park-tower.html,0,2,0%,10.5
https://dallastowers.com/the-wyndemere-at-turtle-creek,0,2,0%,10.5
https://dallastowers.com/alix-condos,0,2,0%,11.5
https://dallastowers.com/new-developments.html,0,2,0%,21
https://dallastowers.com/the-tower-residences-ritz-carlton,0,2,0%,43
https://dallastowers.com/residences-at-the-ritz-carlton-i.html,0,2,0%,64
https://dallastowers.com/turtle-creek.html,0,2,0%,71.5
https://dallastowers.com/neighborhoods,0,2,0%,75
https://dallastowers.com/3525-turtle-creek,0,1,0%,2
https://dallastowers.com/live-oak-lofts.html,0,1,0%,4
https://dallastowers.com/piazza-siena,0,1,0%,5
https://dallastowers.com/about.html,0,1,0%,7
https://dallastowers.com/the-residences-at-the-stoneleigh,0,1,0%,8
https://dallastowers.com/m-central-residences-the-highland,0,1,0%,9
https://dallastowers.com/m-central-residences-the-highland.html,0,1,0%,9
https://dallastowers.com/lone-star-tower.html,0,1,0%,10
https://dallastowers.com/metropolitan-club-at-hotel-zaza.html,0,1,0%,11
https://dallastowers.com/bryan-street-station,0,1,0%,14
https://dallastowers.com/avanti-on-avondale.html,0,1,0%,16
https://dallastowers.com/the-beat-at-south-side-station,0,1,0%,22
https://dallastowers.com/lake-cliff-tower,0,1,0%,30
https://dallastowers.com/fort-worth.html,0,1,0%,47
https://dallastowers.com/one-arts-plaza.html,0,1,0%,62
https://dallastowers.com/residences-at-the-ritz-carlton-i,0,1,0%,62
https://dallastowers.com/soco-urban-lofts.html,0,1,0%,63
https://dallastowers.com/plaza-at-turtle-creek-i.html,0,1,0%,70
https://dallastowers.com/the-bonaventure,0,1,0%,72
https://dallastowers.com/the-residence-at-turtle-creek,0,1,0%,82
https://dallastowers.com/la-tour.html,0,1,0%,84
https://dallastowers.com/the-warrington,0,1,0%,85
https://dallastowers.com/twenty-one-turtle-creek,0,1,0%,99
