Top queries,Clicks,Impressions,CTR,Position
the travis at katy trail,0,16,0%,9.06
bleu ciel,0,13,0%,51.92
victory condos for sale,0,8,0%,56.88
2011 lofts,0,6,0%,7.67
park highlander,0,6,0%,8.33
588 lofts,0,6,0%,9.67
tower 22 district dallas,0,6,0%,59.5
tower 22 dallas,0,6,0%,66.83
the knox residences,0,5,0%,8.6
tower 22 district dallas tx,0,5,0%,57
tower 22 dallas tx,0,5,0%,65
mercer square condominiums,0,4,0%,8.5
colonnade at turtle creek,0,4,0%,9
knox residences,0,4,0%,9.75
la tour dallas,0,4,0%,41.75
turtle creek condos,0,4,0%,47.75
plaza at turtle creek,0,4,0%,51.5
the grand at turtle creek,0,3,0%,4
park plaza condos,0,3,0%,5.33
arthouse at so7,0,3,0%,8.33
belvedere condominiums,0,3,0%,9
azure condos dallas,0,3,0%,28
latour dallas,0,3,0%,40.33
preston tower,0,3,0%,68.67
the ritz residences dallas,0,3,0%,79.67
azure condominiums,0,2,0%,8.5
main 7,0,2,0%,9
the colonnade at turtle creek,0,2,0%,10
the house condo,0,2,0%,10
the knox residences dallas,0,2,0%,10
thirty thirty bryan,0,2,0%,12.5
downtown fort worth condos for sale,0,2,0%,18.5
the knox dallas condos for sale,0,2,0%,22.5
victory park dallas condos for sale,0,2,0%,23
one museum place fort worth condos for sale,0,2,0%,27.5
the renaissance on turtle creek,0,2,0%,28
hall arts residences,0,2,0%,28.5
the shelton dallas,0,2,0%,31.5
the towers fort worth,0,2,0%,49
the house condos dallas,0,2,0%,58
vendome on turtle creek,0,2,0%,69
"turtle creek, dallas",0,2,0%,71.5
the belvedere building,0,1,0%,3
crestpark,0,1,0%,5
the wyndemere,0,1,0%,6
rosewood towers,0,1,0%,7
beverly on turtle creek,0,1,0%,8
park plaza condominiums,0,1,0%,8
park highlander condos,0,1,0%,9
2011 lofts cedar springs,0,1,0%,11
belvedere dallas,0,1,0%,11
tower condo,0,1,0%,11
wyndemere,0,1,0%,13
lofts on cedar springs,0,1,0%,14
one montgomery plaza,0,1,0%,18
the beat lofts,0,1,0%,22
renaissance at turtle creek dallas,0,1,0%,23
the terminal dallas,0,1,0%,26
the beverly dallas condos for sale,0,1,0%,28
museum place fort worth condos for sale,0,1,0%,29
neil p. anderson building,0,1,0%,30
oak cliff tower,0,1,0%,30
terminal at katy trail,0,1,0%,30
terminal katy trail,0,1,0%,30
the neil p at burnett park,0,1,0%,32
the vendome photos,0,1,0%,32
azure dallas,0,1,0%,34
the shelton dallas tx,0,1,0%,35
the tower residential fort worth,0,1,0%,37
bleu ciel dallas,0,1,0%,42
the tower fort worth photos,0,1,0%,42
fort worth towers,0,1,0%,47
the house victory park,0,1,0%,48
1722 routh st dallas tx 75201,0,1,0%,56
one arts plaza dallas,0,1,0%,56
the renaissance condos,0,1,0%,57
dallas one arts plaza,0,1,0%,59
soco lofts,0,1,0%,63
the renaissance condominium,0,1,0%,63
the tower downtown fort worth,0,1,0%,63
urban lofts dallas,0,1,0%,63
ritz-carlton residences dallas,0,1,0%,67
museum towers dallas,0,1,0%,68
the vendome on turtle creek,0,1,0%,69
plaza at turtle creek residences,0,1,0%,70
the knox auberge,0,1,0%,70
the residences at the dallas edition,0,1,0%,76
latour condominiums,0,1,0%,84
preston tower condominiums,0,1,0%,86
one museum place,0,1,0%,87
