Country,Clicks,Impressions,CTR,Position
United States,5,920,0.54%,31.42
Mexico,1,5,20%,17.6
India,0,10,0%,43.2
Moldova,0,8,0%,24.25
Indonesia,0,6,0%,27.67
Philippines,0,6,0%,41.5
United Kingdom,0,5,0%,34.4
South Korea,0,3,0%,10
Turkey,0,3,0%,45
Spain,0,2,0%,28.5
Ukraine,0,2,0%,40
Russia,0,2,0%,43
Vietnam,0,2,0%,49
Malaysia,0,2,0%,60
Puerto Rico,0,1,0%,2
Bangladesh,0,1,0%,6
Peru,0,1,0%,8
Guyana,0,1,0%,9
Kazakhstan,0,1,0%,9
Mongolia,0,1,0%,11
Bulgaria,0,1,0%,12
Cambodia,0,1,0%,17
Latvia,0,1,0%,38
Canada,0,1,0%,41
Algeria,0,1,0%,47
Thailand,0,1,0%,58
Serbia,0,1,0%,65
Italy,0,1,0%,87
Jordan,0,1,0%,94
