date,clicks,impressions,ctr_pct,position
2026-07-30,0,0,,
2026-07-31,0,0,,
2026-08-01,0,7,0,19.7
2026-08-02,0,32,0,17.3
2026-08-03,1,21,4.76,16
2026-08-04,0,23,0,12.4
2026-08-05,0,66,0,39.2
2026-08-06,0,124,0,55.5
2026-08-07,0,77,0,41.5
2026-08-08,1,76,1.32,46.3
2026-08-09,1,99,1.01,36.1
2026-08-10,0,83,0,31.2
2026-08-11,1,40,2.5,25.4
2026-08-12,0,33,0,22.2
2026-08-13,0,53,0,19.6
2026-08-14,0,57,0,20.2
2026-08-15,0,36,0,21.6
2026-08-16,1,67,1.49,16.2
2026-08-17,0,49,0,21.6
2026-08-18,1,50,2,15.9
2026-08-19,0,42,0,26.9
2026-08-20,0,46,0,24.7
2026-08-21,0,41,0,18.6
2026-08-22,0,37,0,26.5
2026-08-23,0,67,0,16
2026-08-24,1,70,1.43,19.7
2026-08-25,1,74,1.35,19.7
2026-08-26,0,50,0,22.7
