country,clicks,impressions,ctr_pct,position
United States,7,1297,0.54,27.19
Mexico,1,12,8.33,41.42
India,0,17,0,50.41
Philippines,0,15,0,57.07
Moldova,0,8,0,24.25
Indonesia,0,7,0,33
Turkey,0,6,0,49.83
United Kingdom,0,5,0,34.4
Vietnam,0,5,0,58.2
South Korea,0,4,0,9.25
Malaysia,0,4,0,46
Russia,0,4,0,48.75
Puerto Rico,0,3,0,7.33
Canada,0,3,0,19.67
Algeria,0,3,0,61.67
Jordan,0,3,0,75
Spain,0,2,0,28.5
Ukraine,0,2,0,40
Bangladesh,0,2,0,45.5
Thailand,0,2,0,58
Jamaica,0,1,0,1
Netherlands,0,1,0,3
Australia,0,1,0,8
Peru,0,1,0,8
Guyana,0,1,0,9
Kazakhstan,0,1,0,9
Japan,0,1,0,11
Mongolia,0,1,0,11
El Salvador,0,1,0,11
Bulgaria,0,1,0,12
Cambodia,0,1,0,17
Latvia,0,1,0,38
Serbia,0,1,0,65
Morocco,0,1,0,69
France,0,1,0,84
Italy,0,1,0,87
