# PCS Oahu, "The BAH Reality Report," August 2026 edition, pcsoahu.com/bah-report/ | License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) | Refreshed 2026-08-01
pocket,bedrooms,rent_low_usd,rent_high_usd,refreshed
Aiea,1BR,1900,2300,2026-08-01
Aiea,2BR,2400,2900,2026-08-01
Aiea,3BR,3200,3800,2026-08-01
Pearl City,2BR,2400,2900,2026-08-01
Pearl City,3BR,3000,3600,2026-08-01
Salt Lake / Moanalua,1BR,1800,2300,2026-08-01
Salt Lake / Moanalua,2BR,2300,2900,2026-08-01
Waipahu,2BR,2000,2500,2026-08-01
Waipahu,3BR,2700,3300,2026-08-01
Mililani,2BR,2500,3000,2026-08-01
Mililani,3BR,3200,3900,2026-08-01
Ewa Beach / Kapolei,3BR,3000,3800,2026-08-01
Ewa Beach / Kapolei,4BR,3800,4500,2026-08-01
Wahiawa,2BR,1900,2400,2026-08-01
Wahiawa,3BR,2600,3200,2026-08-01
Kaneohe,2BR,2600,3200,2026-08-01
Kaneohe,3BR,3400,4200,2026-08-01
Kailua,2BR,3200,4000,2026-08-01
Kailua,3BR,4000,5500,2026-08-01
Downtown / Kakaako,1BR,2000,2600,2026-08-01
Downtown / Kakaako,2BR,2800,3800,2026-08-01
Kalihi,1BR,1500,2000,2026-08-01
Kalihi,2BR,2000,2600,2026-08-01
